24 Channel PWM Driver #1,,24 Channel PWM Driver #2,,24 Channel PWM Driver #3,,24 Channel PWM Driver #4,,24 Channel PWM Driver #5,,24 Channel PWM Driver #6,,24 Channel PWM Driver #7,,24 Channel PWM Driver #8,,24 Channel PWM Driver #9,,24 Channel PWM Driver #10,,24 Channel PWM Driver #11,,24 Channel PWM Driver #12,,24 Channel PWM Driver #13,,24 Channel PWM Driver #14,,24 Channel PWM Driver #15,
Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED,Channel,LED
Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,,Left:,
0,"23, 27",0,"18, 29",0,"14, 29",0,"11,29",0,"11,21",0,extra,0,extra,0,"14, 11",0,"10,8",0,"19, 4",0,"27, 8",0,"29, 11",0,"20, 17",0,"29, 16",0,"28, 21"
1,"24, 26",1,"17, 29",1,"14, 28",1,"11,28",1,"10,21",1,extra,1,extra,1,"13, 11",1,"9,8",1,"18, 4",1,"26, 8",1,"28, 11",1,"19, 17",1,"28, 16",1,"27, 21"
2,"23, 26",2,"18, 28",2,"14, 27",2,"10,28",2,"9,21",2,extra,2,extra,2,"12,11",2,"15, 7",2,"17, 4",2,"25, 8",2,"27, 11",2,"20, 16",2,"27, 16",2,"26, 21"
3,"25, 25",3,"17, 28",3,"14, 26",3,"9,28",3,"8,21",3,extra,3,extra,3,"11,11",3,"14, 7",3,"16, 4",3,"24, 8",3,"26, 11",3,"19, 16",3,"26, 16",3,"25, 21"
4,"24, 25",4,"18, 27",4,"14, 25",4,"11,27",4,"7,21",4,extra,4,extra,4,"10,11",4,"13, 7",4,"15, 4",4,"23, 8",4,"25, 11",4,"18, 16",4,"29, 15",4,"28, 20"
5,"23, 25",5,"17, 27",5,"14, 24",5,"10,27",5,"11,20",5,extra,5,extra,5,"14, 10",5,"12,7",5,"23, 3",5,"22, 8",5,"24, 11",5,"20, 15",5,"28, 15",5,"27, 20"
6,"22, 25",6,"18, 26",6,"14, 23",6,"9,27",6,"10,20",6,extra,6,extra,6,"13, 10",6,"11,7",6,"22, 3",6,"27, 7",6,"23, 11",6,"19, 15",6,"27, 15",6,"26, 20"
7,"26, 24",7,"17, 26",7,"14, 22",7,"11,26",7,"9,20",7,extra,7,extra,7,"12,10",7,"10,7",7,"21, 3",7,"26, 7",7,"22, 11",7,"18, 15",7,"26, 15",7,"25, 20"
8,"25, 24",8,"18, 25",8,"14, 21",8,"10,26",8,"8,20",8,extra,8,extra,8,"11,10",8,"9,7",8,"20, 3",8,"25, 7",8,"21, 11",8,"17, 15",8,"25, 15",8,"29, 19"
9,"24, 24",9,"17, 25",9,"14, 20",9,"9,26",9,"7,20",9,extra,9,extra,9,"10,10",9,"14, 6",9,"19, 3",9,"24, 7",9,"28, 10",9,"16, 15",9,"29, 14",9,"28, 19"
10,"23, 24",10,"18, 24",10,"14, 19",10,"11,25",10,"6,20",10,extra,10,"7,16",10,"14, 9",10,"13, 6",10,"18, 3",10,"23, 7",10,"27, 10",10,"20, 14",10,"28, 14",10,"27, 19"
11,"22, 24",11,"17, 24",11,"14, 18",11,"10,25",11,"11,19",11,extra,11,"6,16",11,"13, 9",11,"12,6",11,"17, 3",11,"22, 7",11,"26, 10",11,"19, 14",11,"27, 14",11,"26, 19"
12,"27, 23",12,"18, 23",12,"13, 18",12,"9,25",12,"10,19",12,extra,12,"5,16",12,"12,9",12,"11,6",12,"16, 3",12,"26, 6",12,"25, 10",12,"18, 14",12,"26, 14",12,"25, 19"
13,"26, 23",13,"17, 23",13,"18, 17",13,"11,24",13,"9,19",13,"10,17",13,"4,16",13,"11,9",13,"10,6",13,"15, 3",13,"25, 6",13,"24, 10",13,"17, 14",13,"25, 14",13,"29, 18"
14,"25, 23",14,"18, 22",14,"17, 17",14,"10,24",14,"8,19",14,"9,17",14,"5,15",14,"10,9",14,"9,6",14,"21, 2",14,"24, 6",14,"23, 10",14,"16, 14",14,"29, 13",14,"28, 18"
15,"24, 23",15,"17, 22",15,"16, 17",15,"9,24",15,"7,19",15,"9,16",15,"4,15",15,"9,9",15,"15, 5",15,"20, 2",15,"23, 6",15,"22, 10",15,"20, 13",15,"28, 13",15,"27, 18"
16,"23, 23",16,"18, 21",16,"15, 17",16,"11,23",16,"6,19",16,"9,15",16,"5,14",16,"18, 8",16,"14, 5",16,"19, 2",16,"22, 6",16,"21, 10",16,"19, 13",16,"27, 13",16,"26, 18"
17,"22, 23",17,"17, 21",17,"14, 17",17,"10,23",17,"11,18",17,"8,15",17,"4,14",17,"17, 8",17,"13, 5",17,"18, 2",17,"25, 5",17,"28, 9",17,"18, 13",17,"26, 13",17,"25, 18"
18,"27, 22",18,"18, 20",18,"13, 17",18,"9,23",18,"10,18",18,"9,14",18,"5,13",18,"16, 8",18,"12,5",18,"17, 2",18,"24, 5",18,"27, 9",18,"17, 13",18,"25, 13",18,"29, 17"
19,"26, 22",19,"17, 20",19,"17, 16",19,"8,23",19,"9,18",19,"8,14",19,"4,13",19,"15, 8",19,"11,5",19,"16, 2",19,"23, 5",19,"26, 9",19,"16, 13",19,"29, 12",19,"28, 17"
20,"25, 22",20,"18, 19",20,"16, 16",20,"11,22",20,"8,18",20,"9,13",20,"3,13",20,"14, 8",20,"10,5",20,"19, 1",20,"22, 5",20,"25, 9",20,"15, 13",20,"28, 12",20,"27, 17"
21,"24, 22",21,"17, 19",21,"15, 16",21,"10,22",21,"7,18",21,"8,13",21,"5,12",21,"13, 8",21,"9,5",21,"18, 1",21,"24, 4",21,"24, 9",21,"20, 12",21,"27, 12",21,"26, 17"
22,"23, 22",22,"18, 18",22,"14, 16",22,"9,22",22,"6,18",22,"9,12",22,"4,12",22,"12,8",22,"10,4",22,"17, 1",22,"23, 4",22,"23, 9",22,"19, 12",22,"26, 12",22,"25, 17"
23,"22, 22",23,"17, 18",23,"13, 16",23,"8,22",23,"6,17",23,"8,12",23,"3,12",23,"11,8",23,"9,4",23,"16, 1",23,"22, 4",23,"22, 9",23,"18, 12",23,"25, 12",23,"24, 17"
Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,,Right:,
0,"19, 29",0,"15, 29",0,"12,29",0,"7,27",0,"2,21",0,extra,0,extra,0,"1,11",0,"3,8",0,"11,4",0,"19, 8",0,"13, 12",0,"11,17",0,"21, 17",0,"19, 21"
1,"19, 28",1,"16, 29",1,"13, 29",1,"8,27",1,"3,21",1,extra,1,extra,1,"2,11",1,"4,8",1,"12,4",1,"20, 8",1,"14, 12",1,"10,16",1,"22, 17",1,"20, 21"
2,"20, 28",2,"15, 28",2,"12,28",2,"6,26",2,"4,21",2,extra,2,extra,2,"3,11",2,"5,8",2,"13, 4",2,"21, 8",2,"15, 12",2,"11,16",2,"23, 17",2,"21, 21"
3,"21, 28",3,"16, 28",3,"13, 28",3,"7,26",3,"5,21",3,extra,3,extra,3,"4,11",3,"6,8",3,"14, 4",3,"16, 7",3,"16, 12",3,"12,16",3,"21, 16",3,"22, 21"
4,"19, 27",4,"15, 27",4,"12,27",4,"8,26",4,"6,21",4,extra,4,extra,4,"5,11",4,"7,8",4,"7,3",4,"17, 7",4,"17, 12",4,"10,15",4,"22, 16",4,"23, 21"
5,"20, 27",5,"16, 27",5,"13, 27",5,"5,25",5,"2,20",5,extra,5,extra,5,"6,11",5,"8,8",5,"8,3",5,"18, 7",5,"15, 11",5,"11,15",5,"23, 16",5,"24, 21"
6,"21, 27",6,"15, 26",6,"12,26",6,"6,25",6,"3,20",6,extra,6,extra,6,"7,11",6,"3,7",6,"9,3",6,"19, 7",6,"16, 11",6,"12,15",6,"24, 16",6,"19, 20"
7,"22, 27",7,"16, 26",7,"13, 26",7,"7,25",7,"4,20",7,extra,7,extra,7,"8,11",7,"4,7",7,"10,3",7,"20, 7",7,"17, 11",7,"13, 15",7,"25, 16",7,"20, 20"
8,"19, 26",8,"15, 25",8,"12,25",8,"8,25",8,"5,20",8,extra,8,extra,8,"9,11",8,"5,7",8,"11,3",8,"21, 7",8,"18, 11",8,"14, 15",8,"21, 15",8,"21, 20"
9,"20, 26",9,"16, 25",9,"13, 25",9,"4,24",9,"1,19",9,extra,9,extra,9,"2,10",9,"6,7",9,"12,3",9,"15, 6",9,"19, 11",9,"15, 15",9,"22, 15",9,"22, 20"
10,"21, 26",10,"15, 24",10,"12,24",10,"5,24",10,"2,19",10,extra,10,extra,10,"3,10",10,"7,7",10,"13, 3",10,"16, 6",10,"20, 11",10,"10,14",10,"23, 15",10,"23, 20"
11,"22, 26",11,"16, 24",11,"13, 24",11,"6,24",11,"3,19",11,extra,11,"1,16",11,"4,10",11,"8,7",11,"14, 3",11,"17, 6",11,"15, 10",11,"11,14",11,"24, 15",11,"24, 20"
12,"19, 25",12,"15, 23",12,"12,23",12,"7,24",12,"4,19",12,extra,12,"2,16",12,"5,10",12,"4,6",12,"9,2",12,"18, 6",12,"16, 10",12,"12,14",12,"21, 14",12,"19, 19"
13,"20, 25",13,"16, 23",13,"13, 23",13,"8,24",13,"5,19",13,"7,17",13,"3,16",13,"6,10",13,"5,6",13,"10,2",13,"19, 6",13,"17, 10",13,"13, 14",13,"22, 14",13,"20, 19"
14,"21, 25",14,"15, 22",14,"12,22",14,"3,23",14,"1,18",14,"8,17",14,"1,15",14,"7,10",14,"6,6",14,"11,2",14,"20, 6",14,"18, 10",14,"14, 14",14,"23, 14",14,"21, 19"
15,"19, 24",15,"16, 22",15,"13, 22",15,"4,23",15,"2,18",15,"8,16",15,"2,15",15,"8,10",15,"7,6",15,"12,2",15,"21, 6",15,"19, 10",15,"15, 14",15,"24, 14",15,"22, 19"
16,"20, 24",16,"15, 21",16,"12,21",16,"5,23",16,"3,18",16,"6,15",16,"3,15",16,"9,10",16,"8,6",16,"13, 2",16,"16, 5",16,"20, 10",16,"10,13",16,"21, 13",16,"23, 19"
17,"21, 24",17,"16, 21",17,"13, 21",17,"6,23",17,"4,18",17,"7,15",17,"1,14",17,"2,9",17,"5,5",17,"14, 2",17,"17, 5",17,"15, 9",17,"11,13",17,"22, 13",17,"24, 19"
